service	compose_files	ports	volumes	healthcheck	chain_dependencies	db_env	metrics_env
audit-log-service	infra/docker/compose/docker-compose.services.yml,services/audit-log-service/docker-compose.yml,services/docker-compose.legacy.yml	7641->7641/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
auditor-agent	docker-compose.agents.yml	none		no	none	none	none
auth-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/auth-service/docker-compose.yml	7639->7639/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
block-index-service	infra/docker/compose/docker-compose.services.yml,services/block-index-service/docker-compose.yml,services/docker-compose.legacy.yml	7626->7626/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
bridge-service	docker-compose.phase3.yml,infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/bridge-service/docker-compose.yml	7604->7604/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
chain-status-service	infra/docker/compose/docker-compose.services.yml,services/chain-status-service/docker-compose.yml,services/docker-compose.legacy.yml	7612->7612/tcp	3	yes	RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
coder-agent	docker-compose.agents.yml	none		no	none	none	none
command-palette-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/command-palette-service/docker-compose.yml	7642->7642/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
compliance-export-service	infra/docker/compose/docker-compose.services.yml,services/compliance-export-service/docker-compose.yml,services/docker-compose.legacy.yml	7621->7621/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
consensus-telemetry-service	docker-compose.autonomy.yml,infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/consensus-telemetry-service/docker-compose.yml	17635->7635/tcp	3	yes	OP_NODE_L2_RPC,OP_NODE_L3_RPC,RPC_L1,RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL,METRICS_ENABLED,METRICS_PATH
contract-registry-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/contract-registry-service/docker-compose.yml	7608->7608/tcp	3	yes	RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
contract-risk-service	infra/docker/compose/docker-compose.services.yml,services/contract-risk-service/docker-compose.yml,services/docker-compose.legacy.yml	7609->7609/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
core-service	core-service/docker-compose.yml,infra/docker/compose/docker-compose.services.yml	8080->8080/tcp		yes	none	none	none
dispute-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/dispute-service/docker-compose.yml	7607->7607/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
docker-socket-proxy	tools/ghostcontrol/infra/compose/docker-compose.yml	none	1	no	none	none	none
docs-agent	docker-compose.agents.yml	none		no	none	none	none
entity-tagging-service	infra/docker/compose/docker-compose.services.yml,services/entity-tagging-service/docker-compose.yml,services/docker-compose.legacy.yml	7627->7627/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
evidence-service	docker-compose.agents.yml	17641->7641/tcp	1	no	none	none	none
explainability-service	infra/docker/compose/docker-compose.services.yml,infra/docker/compose/docker-compose.ai.yml,services/explainability-service/docker-compose.yml,services/docker-compose.legacy.yml	7632->7632/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
external-evm	infra/docker/liquidity-gravity/docker-compose.yml	38545->8545/tcp		yes	none	none	none
feature-flags-service	infra/docker/compose/docker-compose.services.yml,services/feature-flags-service/docker-compose.yml,services/docker-compose.legacy.yml	7611->7611/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
fee-model-service	infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/fee-model-service/docker-compose.yml	7615->7615/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
forecasting-service	infra/docker/compose/docker-compose.services.yml,infra/docker/compose/docker-compose.ai.yml,services/docker-compose.legacy.yml,services/forecasting-service/docker-compose.yml	7617->7617/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
gas-engine-migrate	services/docker-compose.legacy.yml,services/gas-engine-migrate/docker-compose.yml	none	4	yes	RPC_L1,RPC_L2,RPC_L3	DATABASE_URL,REDIS_URL	none
gas-engine-postgres	services/gas-engine-postgres/docker-compose.yml,services/docker-compose.legacy.yml	5433->5432/tcp	3	yes	none	POSTGRES_DB,POSTGRES_PASSWORD,POSTGRES_USER	none
gas-engine-redis	services/gas-engine-redis/docker-compose.yml,services/docker-compose.legacy.yml	6381->6379/tcp	3	yes	none	none	none
ghost-ai-attestor	infra/docker/compose/docker-compose.ai.yml,services/ghost-ai-attestor/docker-compose.yml	3310->3310/tcp	3	yes	RPC_L1,RPC_L2,RPC_L3	none	none
ghost-compliance	apps/docker-compose.yml,infra/docker/compose/docker-compose.services.yml,services/ghost-compliance/docker-compose.yml	8090->8090/tcp	3	yes	none	DATABASE_URL,REDIS_URL	none
ghost-compliance-worker	apps/docker-compose.yml,infra/docker/compose/docker-compose.services.yml,services/ghost-compliance-worker/docker-compose.yml	none	3	yes	none	DATABASE_URL,REDIS_URL	none
ghost-gas-engine	services/docker-compose.legacy.yml,services/ghost-gas-engine/docker-compose.yml	3210->3210/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,DATABASE_URL,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD,REDIS_URL	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ghost-gas-engine-worker	services/docker-compose.legacy.yml,services/ghost-gas-engine-worker/docker-compose.yml	none	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,DATABASE_URL,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD,REDIS_URL	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ghost-guard	docker-compose.phase3.yml,infra/opstack/docker-compose.yml	7070->7070/tcp	1	yes	RPC_L1,RPC_L2,RPC_L3	none	none
ghost-mapper	docker-compose.phase3.yml,docker-compose.autonomy.yml,services/ghost-mapper/docker-compose.yml	17780->7780/tcp	3	yes	none	none	none
ghost-pil	services/ghost-pil/docker-compose.yml,services/docker-compose.legacy.yml	3220->3220/tcp	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,L1_CHAIN_ID,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L3_PARENT_L2_RPC	AUTH_DB_PATH,DATABASE_URL,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	PROM_URL,GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL
ghost-pil-worker	services/docker-compose.legacy.yml,services/ghost-pil-worker/docker-compose.yml	none	3	yes	CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,DATABASE_URL,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ghost-registry	docker-compose.phase3.yml,docker-compose.autonomy.yml,infra/docker/compose/docker-compose.services.yml,services/docker-compose.legacy.yml,services/ghost-registry/docker-compose.yml	28088->8088/tcp;18088->8088/tcp	3	yes	RPC_L1,RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
ghost-relayer	infra/docker/compose/docker-compose.services.yml,services/ghost-relayer/docker-compose.yml,services/docker-compose.legacy.yml	7171->7171/tcp	4	yes	RPC_L1,RPC_L2,RPC_L3,CLOCK_SYNC_RPC_L1,CLOCK_SYNC_RPC_L2,CLOCK_SYNC_RPC_L3,GOVERNANCE_RPC_L1,GOVERNANCE_RPC_L2,GOVERNANCE_RPC_L3,L1_CHAIN_ID,L3_PARENT_L2_RPC,MONITOR_RPC_L1,MONITOR_RPC_L2,MONITOR_RPC_L3	AUTH_DB_PATH,GAS_ENGINE_DB_PASSWORD,NFT_DB_PATH,PIL_DB_PASSWORD	GRAFANA_ENABLED,GRAFANA_URL,L3_CHALLENGER_METRICS_HOST_PORT,L3_GETH_METRICS_HOST_PORT,L3_METRICS_BATCHER_HOST_PORT,L3_METRICS_NODE_HOST_PORT,L3_METRICS_PROPOSER_HOST_PORT,PROMETHEUS_ENABLED,PROMETHEUS_URL,PROM_URL
